id;imdb_id;title;original_title;overview;vote_average;vote_count;popularity;revenue;budget
484641;tt7456310;Anna;Anna;Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.;6.7;1582;126.84;31626978;34000000
478820;tt7025976;The Emperor of Paris;L'Empereur de Paris;Paris, France, early 19th century. The legendary convict François Vidocq lives in disguise trying to escape from a tragic past that torments him. When, after an unfortunate event, he crosses paths with the police chief, he makes a bold decision that will turn the ruthless mastermind of the Parisian underworld against him.;6.4;359;58.59;0;0
467938;tt6738136;Revenge;Revenge;Jen's romantic getaway with her wealthy (married) boyfriend is disrupted when his friends arrive for an impromptu hunting trip. Tension mounts at the house until the situation culminates in an unexpected way.;6.4;1164;54.154;692079;2900000
453354;tt6194530;Ava;Ava;Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...;6.1;100;50.598;0;0
16306;tt0070544;Fantastic Planet;La Planète sauvage;"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.";7.7;506;50.257;0;0
377263;tt5029608;Frantz;Frantz;In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious French man who visits the fiance’s grave to lay flowers.;7.4;506;50.13;7478354;0
525554;tt7816392;The Bouncer;Lukas;A tough nightclub bouncer struggling to raise his 8-year-old daughter is forced to go undercover after an unfortunate event.;6.2;211;50.057;0;3383890
595985;tt9082020;Cold Blood;Cold Blood Legacy - La mémoire du sang;A legendary but retired hit man lives in peace and isolation in the barren North American wilderness. When he rescues a woman from a snowmobiling accident, he soon discovers that she's harboring a secret that forces him to return to his lethal ways.;5.3;253;48.167;0;2700000
77338;tt1675434;The Intouchables;Intouchables;A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.;8.3;13123;39.219;426588510;13000000
338189;tt4645368;It's Only the End of the World;Juste la fin du monde;Louis, a terminally ill writer, returns home after a long absence to tell his family that he is dying.;7.2;1211;37.83;0;10000000
86331;tt1879030;Desire;Q;In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cecile, a character who symbolizes desire.;4.9;267;34.137;0;1344000
595867;tt10115562;On a Magical Night;Chambre 212;After 20 years of marriage, Maria decides to leave her husband. She moves into room 212 at the hotel across the street, with a bird’s-eye view of her apartment, her husband and the life she shared with him. While she wonders if she made the right decision, many of the people in her life offer their opinions on the matter. They intend to let her know, whether she likes it or not, on what proves to be a life-changing evening.;6.4;168;31.388;0;0
77459;tt0961097;A Monster in Paris;Un monstre à Paris;Paris, 1910. Emile, a shy movie projectionist, and Raoul, a colourful inventor, find themselves embarked on the hunt for a monster terrorizing citizens. They join forces with Lucille, the big-hearted star of the Bird of Paradise cabaret, an eccentric scientist and his irascible monkey to save the monster, who turns out to be an oversized but harmless flea, from the city's ruthlessly ambitious police chief.;6.7;840;30.656;0;25000000
184314;tt2752200;Young & Beautiful;Jeune & Jolie;Isabelle, a 17-year-old student, loses her virginity during a quick holiday romance. When she returns home, she begins a secret life as a prostitute for a year.;6.4;850;27.059;0;0
587301;tt8783532;School Life;La Vie scolaire;The daily life of a school located in Saint Denis.;7.1;505;24.989;0;0
26338;tt0194314;Romance;Romance;Although deeply in love with her boyfriend - and indeed sleeping in the same bed with him - a schoolteacher cannot handle the almost complete lack of intimacy he will allow. Increasingly frustrated, she gradually finds her sexual appetites leading her into ever more risky situations, including a developing one with the headmaster.;5.4;135;24.071;1314053;0
589976;tt9454778;Just Retired;Joyeuse retraite!;Marilou and Philippe prepare for their future retirement in Portugal. But their daughter separates and a whole procession of solicitations falls on them.;5.3;102;24.069;9796520;0
8424;tt0364517;Love Me If You Dare;Jeux d'enfants;As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.;7.3;1430;10.426;0;0
432618;tt6144762;Coexister;Coexister;Under the pressure of his boss, a music producer decides to set up a group consisting of a rabbi, a priest and an imam to make them sing the living together. But the religious he recruits are far from being saints ...;6.0;304;10.414;0;0
56415;tt1741542;A Gang Story;Les Lyonnais;"After growing up in a poor gypsy camp, Edmond Vidal, aka Momon, has retained a sense of family, unfailing loyalty and pride in his origins. Most of all, he has remained friends with Serge Suttel, with whom he first discovered prison life - for stealing cherries. The two of them inevitably got involved in organized crime. The team they formed, the Ganf Des Lyonnais, made them the most notorious armed robbers of the early 1970s. Their irresistible rise ended in 1974 with a spectacular arrest. Today, as he nears 60, Momon would like to forget that part of his life. He has found peace by retiring from the ""business"". He tends to his wife Janou, who suffered so in the past, and to his children and grandchildren, all of whom have great respect for this man of simple and universal values, so clear-headed and full of kindness. But then Serge Suttel, who has disowned nothing of his past, comes back into the picture.";6.8;237;10.389;0;0
152584;tt2278871;Blue Is the Warmest Color;La Vie d'Adèle - Chapitres 1 et 2;Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. In front of others, Adele grows, seeks herself, loses herself, finds herself.;7.1;3373;10.388;10165694;4300000
48034;tt1440232;Little White Lies;Les Petits Mouchoirs;Despite a traumatic event, a group of friends decide to go ahead with their annual beach vacation. Their relationships, convictions, sense of guilt and friendship are sorely tested. They are finally forced to own up to the little white lies they've been telling each other.;7.1;1156;10.385;48531470;25000000
11842;tt0067770;Red Sun;Soleil Rouge;In 1870, Japanese ambassador Sakaguchi and his entourage travel by train to Washington to deliver a valuable sword to the President of the United States, a gift from the Emperor of Japan. On board the same train are two robbers, Link and Gauche, ready to make their move…;6.8;146;10.378;0;0
